updated 11/13/20,,,,,
,"This information is being made available to facilitate the sharing of the quality, improved data that the Center for Responsive Politics works hard to provide.   Should you find this information useful, please consider supporting the work of the Center with a donation:  http://opensecrets.org/donate/  Whether you use this information to provide relevant links to our web site, www.OpenSecrets.org , or to use CRP's APIs, available at www.OpenSecrets.org/resources/create/apis.php , please make sure to credit the Center for Responsive Politics and/or OpenSecrets.org.  And remember, Federal law prohibits the use of contributor information for the purpose of soliciting contributions or for any commercial purpose.",,,,
,,,,,
,,,,,
,,,,,
CID,CRPName,Party,DistIDRunFor,FECCandID,
N00028291,"Abate, Camille Marie",D,NJ05,H6NJ05155,
N00028325,"Abboud, Ruth Nader",R,OH13,H6OH13224,
N00028849,"Abel, Matthew R",3,MI09,H6MI09179,
N00007665,"Abercrombie, Neil",D,HI01,H6HI01121,
N00025789,"Abrams, Thomas D",3,NJ07,H6NJ07136,
N00001143,"Ackerman, Gary",D,NY05,H4NY07011,
N00027625,"Ackerman, Richard",R,CA48,H6CA48047,
N00027938,"Acosta, Guillermo",L,TX17,H6TX17085,
N00028042,"Acuff, Steven D",R,NC04,H6NC04128,
N00028688,"Adair, Robin",I,WAS1,S6WA00289,
N00027843,"Adams, Eddie",R,FL11,H6FL11175,
N00003028,"Aderholt, Robert B",R,AL04,H6AL04098,
N00028741,"Adornato, Dennis E",3,NY08,H6NY08105,
N00028784,"Ae, Muavaefaatasi Ae Jr",I,AS00,H6AS00023,
N00027749,"Ahner, Chuck",R,KS03,H6KS03167,
N00028554,"Aipoalani, Hanalei Y",D,HI02,H6HI02335,
N00007653,"Akaka, Daniel K",D,HIS2,S0HI00084,
N00008133,"Akin, Kevin",3,CA44,H4CA44140,
N00009677,"Akin, Todd",R,MO02,H0MO02148,
N00026600,"Alexakis, Kostas",D,MD01,H4MD01085,
N00025464,"Alexander, Rodney",R,LA05,H2LA05084,
N00003858,"Alfred, Clayton Linsley",R,IN05,H4IN05070,
N00009957,"Allen, George",R,VAS1,S8VA00214,
N00000469,"Allen, Tom H",D,ME01,H6ME01157,
N00028365,"Aloisi, Michael Herbert",I,AZS2,S6AZ00159,
N00027664,"Altmire, Jason",D,PA04,H6PA04110,
N00028562,"Altschuler, Bruce Robert",R,MD03,H6MD03383,
N00028649,"Alzona, Gus",R,MD08,H6MD08432,
N00027635,"Amador, Frank",D,CA39,H6CA39103,
N00013309,"America, Anthony",D,MI10,H0MI10188,
N00028772,"Amsterdam, C Kaui Jochanan",I,HIS2,S6HI00248,
N00028003,"Anderson, John Wesley",R,CO05,H6CO05134,
N00028742,"Anderson, Jonathan H",R,NY10,H6NY10101,
N00026680,"Anderson, Kevin D",D,TX04,H4TX04112,
N00027622,"Anderson, Tucker",R,TX17,H6TX17051,
