updated 7/19/2019,,,,,,,,
,"This information is being made available to facilitate the sharing of the quality, improved data that the Center for Responsive Politics works hard to provide.   Should you find this information useful, please consider supporting the work of the Center with a donation:  http://opensecrets.org/donate/  Whether you use this information to provide relevant links to our web site, www.OpenSecrets.org , or to use CRP's APIs, available at www.OpenSecrets.org/resources/create/apis.php , please make sure to credit the Center for Responsive Politics and/or OpenSecrets.org.  And remember, Federal law prohibits the use of contributor information for the purpose of soliciting contributions or for any commercial purpose.",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,CID,CRPName,Party,DistIDRunFor,FECCandID,,,
,N00034296,"Aalders, Tim",3,UTS1,S2UT00229,,,
,N00040877,"Aarestad, David",D,CO06,H8CO06237,,,
,N00040419,"Abatecola, Bill",R,AZ03,H6AZ03245,,,
,N00041028,"Abboud, Deedra",D,AZS2,S8AZ00122,,,
,N00040725,"Abdulahi, Jamal",D,MN05,H8MN05163,,,
,N00041944,"Abel, Kevin",D,GA06,H8GA06377,,,
,N00043353,"Abentroth, Tiffany",R,ND01,H8ND00120,,,
,N00036633,"Abraham, Ralph",R,LA05,H4LA05221,,,
,N00041156,"Abrams, John",D,NM01,H8NM01356,,,
,N00040686,"Abroms, David",R,GA06,H8GA06302,,,
,N00039682,"Accavitti, Frank Jr",D,MI10,H8MI10132,,,
,N00042673,"Achille, Carl",D,NY05,H8NY05107,,,
,N00039865,"Acker, Brandon W.",D,NC07,H8NC07093,,,
,N00041927,"Ackison, Melissa",R,OHS1,S8OH00094,,,
,N00043146,"Adadi, Elizabeth",R,FL27,H8FL27219,,,
,N00040972,"Adair, Glenn",L,TX06,H8TX06209,,,
,N00035451,"Adams, Alma",D,NC12,H4NC12100,,,
,N00040808,"Adams, Ann Marie",D,CTS1,S8CT00105,,,
,N00037273,"Adams, David",R,FL27,H6FL26017,,,
,N00040736,"Adams, Denise Darcel",D,NC05,H8NC05063,,,
,N00041964,"Adams, Dion",D,MI04,H8MI04085,,,
,N00041029,"Adams, Donald",I,CAS2,S8CA00325,,,
,N00032432,"Adams, John",R,OH12,H0OH15099,,,
,N00041420,"Adams, Kimberly",D,VA10,H8VA10148,,,
,N00043410,"Adams, Timothy",3,MTS1,S8MT00291,,,
,N00041289,"Addis, Paul",R,PAS2,S8PA00304,,,
,N00043235,"Addis, Paul David",R,PA05,H8PA05303,,,
,N00041292,"Adeluola, Folasade",D,VTS1,S8VT00117,,,
,N00003028,"Aderholt, Robert B",R,AL04,H6AL04098,,,
,N00040978,"Adia, Vanessa",D,TX12,H8TX12074,,,
,N00041539,"Agnew, Eric",I,WA05,H8WA05185,,,
