Updated 11/13/2020,,,,,
,"This information is being made available to facilitate the sharing of the quality, improved data that the Center for Responsive Politics works hard to provide.   Should you find this information useful, please consider supporting the work of the Center with a donation:  http://www.opensecrets.org/donate/   Whether you use this information to provide relevant links to our web site, www.OpenSecrets.org , or to use CRP's APIs, available at www.OpenSecrets.org/resources/create/apis.php , please make sure to credit the Center for Responsive Politics and/or OpenSecrets.org.  And remember, Federal law prohibits the use of contributor information for the purpose of soliciting contributions or for any commercial purpose.",,,,
,,,,,
,,,,,
,,,,,
,CID,CRPName,Party,Office,FECCandID
,N00001143,"Ackerman, Gary",D,NY05,H4NY07011
,N00030926,"Adams, Sandy",R,FL24,H0FL24049
,N00003028,"Aderholt, Robert B",R,AL04,H6AL04098
,N00007653,"Akaka, Daniel K",D,HIS2,S0HI00084
,N00009677,"Akin, Todd",R,MO02,S2MO00429
,N00009888,"Alexander, Lamar",R,TNS2,S2TN00058
,N00025464,"Alexander, Rodney",R,LA05,H2LA05084
,N00027664,"Altmire, Jason",D,PA04,H6PA04110
,N00031938,"Amash, Justin",R,MI03,H0MI03126
,N00031177,"Amodei, Mark",R,NV02,H2NV02395
,N00000826,"Andrews, Robert E",D,NJ01,H0NJ01066
,N00029412,"Austria, Steve",R,OH07,H8OH07065
,N00030980,"Ayotte, Kelly",R,NHS1,S0NH00235
,N00007089,"Baca, Joe",D,CA43,H6CA42099
,N00027493,"Bachmann, Michele",R,MN06,H6MN06074
,N00008091,"Bachus, Spencer",R,AL06,H2AL06035
,N00004367,"Baldwin, Tammy",D,WI02,S2WI00219
,N00033981,"Barber, Ron",D,AZ08,H2AZ08094
,N00025495,"Barletta, Lou",R,PA11,H2PA11098
,N00006236,"Barrasso, John A",R,WYS1,S6WY00068
,N00026080,"Barrow, John",D,GA12,H4GA12010
,N00002017,"Bartlett, Roscoe G",R,MD06,H2MD06054
,N00005656,"Barton, Joe",R,TX06,H4TX06117
,N00000423,"Bass, Charles",R,NH02,H0NH02017
,N00031877,"Bass, Karen",D,CA33,H0CA33117
,N00004643,"Baucus, Max",D,MTS2,S8MT00010
,N00009774,"Becerra, Xavier",D,CA31,H2CA30143
,N00029901,"Begich, Mark",D,AKS1,S8AK00090
,N00031934,"Benishek, Dan",R,MI01,H0MI01088
,N00030608,"Bennet, Michael",D,COS1,S0CO00211
,N00031629,"Berg, Rick",R,ND01,S2ND00073
,N00009818,"Berkley, Shelley",D,NV01,S2NV00209
,N00008094,"Berman, Howard L",D,CA28,H2CA26026
,N00031559,"Beutler, Jaime Herrera",R,WA03,H0WA03187
,N00004762,"Biggert, Judy",R,IL13,H8IL13069
,N00006981,"Bilbray, Brian P",R,CA50,H4CA49032
,N00027462,"Bilirakis, Gus",R,FL09,H6FL09070
,N00006518,"Bingaman, Jeff",D,NMS1,S2NM00021
,N00025292,"Bishop, Rob",R,UT01,H2UT01094
,N00002674,"Bishop, Sanford",D,GA02,H2GA02031
,N00025413,"Bishop, Timothy H",D,NY01,H2NY01067
,N00031539,"Black, Diane",R,TN06,H0TN06257
,N00003105,"Blackburn, Marsha",R,TN07,H2TN06030
,N00007727,"Blumenauer, Earl",D,OR03,H6OR03064
,N00031685,"Blumenthal, Richard",D,CTS2,S0CT00177
,N00005195,"Blunt, Roy",R,MOS1,S0MO00183
,N00003675,"Boehner, John",R,OH08,H0OH08029
,N00033474,"Bonamici, Suzanne",D,OR01,H2OR01133
,N00025330,"Bonner, Jo",R,AL01,H2AL01077
,N00007068,"Bono Mack, Mary",R,CA45,H8CA44034
,N00013873,"Boozman, John",R,ARS2,S0AR00150
,N00024866,"Bordallo, Madeleine Z",D,GU00,H2GU00033
,N00026481,"Boren, Dan",D,OK02,H4OK02089
,N00004208,"Boswell, Leonard",D,IA03,H6IA03144
,N00026595,"Boustany, Charles Jr",R,LA07,H4LA07029
,N00006692,"Boxer, Barbara",D,CAS1,S2CA00286
,N00005883,"Brady, Kevin",R,TX08,H6TX08100
,N00001619,"Brady, Robert A",D,PA01,H8PA01153
,N00027464,"Braley, Bruce",D,IA01,H6IA01098
,N00030910,"Brooks, Mo",R,AL05,H0AL05163
,N00028986,"Broun, Paul",R,GA10,H8GA10049
,N00002713,"Brown, Corrine",D,FL03,H2FL03056
,N00031174,"Brown, Scott",R,MAS1,S0MA00109
,N00003535,"Brown, Sherrod",D,OHS1,S6OH00163
,N00027626,"Buchanan, Vernon",R,FL13,H6FL13148
,N00031227,"Bucshon, Larry",R,IN08,H0IN08114
,N00031640,"Buerkle, Ann Marie",R,NY25,H0NY25078
,N00025219,"Burgess, Michael",R,TX26,H2TX26093
,N00002221,"Burr, Richard",R,NCS2,S4NC00089
,N00000010,"Burton, Dan",R,IN05,H2IN06023
,N00027035,"Butterfield, G K",D,NC01,H4NC01046
,N00007099,"Calvert, Ken",R,CA44,H2CA37023
,N00008086,"Camp, Dave",R,MI04,H0MI10071
,N00027565,"Campbell, John",R,CA48,H6CA48039
,N00026722,"Canseco, Quico",R,TX23,H4TX28046
,N00013131,"Cantor, Eric",R,VA07,H0VA07042
,N00007836,"Cantwell, Maria",D,WAS1,S8WA00194
,N00009771,"Capito, Shelley Moore",R,WV02,H0WV02138
,N00007232,"Capps, Lois",D,CA23,H8CA22089
,N00000267,"Capuano, Michael E",D,MA08,H8MA08071
,N00001955,"Cardin, Ben",D,MDS1,S6MD03177
,N00024874,"Cardoza, Dennis",D,CA18,H2CA18056
,N00005181,"Carnahan, Russ",D,MO03,H0MO00019
,N00030736,"Carney, John",D,DE01,H0DE01017
,N00012508,"Carper, Tom",D,DES1,S8DE00079
,N00029513,"Carson, Andre",D,IN07,H8IN07184
,N00025095,"Carter, John",R,TX31,H2TX31044
,N00027503,"Casey, Bob",D,PAS2,S6PA00217
,N00030245,"Cassidy, Bill",R,LA06,H8LA00017
,N00027514,"Castor, Kathy",D,FL11,H6FL11126
,N00003689,"Chabot, Steve",R,OH01,H8OH01043
,N00028958,"Chaffetz, Jason",R,UT03,H8UT03089
,N00002685,"Chambliss, Saxby",R,GAS1,S2GA00118
,N00026591,"Chandler, Ben",D,KY06,H4KY06072
,N00000133,"Christian-Christensen, Donna",D,VI00,H4VI00054
,N00030600,"Chu, Judy",D,CA32,H0CA32101
,N00032019,"Cicilline, David",D,RI01,H0RI01073
,N00031945,"Clarke, Hansen",D,MI13,H0MI13398
,N00026961,"Clarke, Yvette D",D,NY11,H4NY11138
,N00012460,"Clay, William L Jr",D,MO01,H0MO01066
,N00026790,"Cleaver, Emanuel",D,MO05,H4MO05234
,N00002408,"Clyburn, James E",D,SC06,H2SC02042
,N00003845,"Coats, Dan",R,INS2,S0IN00053
,N00002247,"Coble, Howard",R,NC06,H4NC06011
,N00005601,"Coburn, Tom",R,OKS1,S4OK00174
,N00003328,"Cochran, Thad",R,MSS1,S8MS00055
,N00024753,"Coffman, Mike",R,CO06,H8CO06138
,N00003225,"Cohen, Steve",D,TN09,H6TN09068
,N00025726,"Cole, Tom",R,OK04,H2OK04055
,N00000491,"Collins, Susan M",R,MES2,S6ME00159
,N00026041,"Conaway, Mike",R,TX11,H4TX19136
,N00029891,"Connolly, Gerry",D,VA11,H8VA11062
,N00004613,"Conrad, Kent",D,NDS2,S6ND00058
,N00004029,"Conyers, John Jr",D,MI14,H6MI01028
,N00031820,"Coons, Chris",D,DES2,S0DE00092
,N00003132,"Cooper, Jim",D,TN05,H2TN05131
,N00027441,"Corker, Bob",R,TNS1,S6TN00216
,N00024852,"Cornyn, John",R,TXS1,S2TX00106
,N00026341,"Costa, Jim",D,CA20,H4CA20082
,N00004956,"Costello, Jerry F",D,IL12,H8IL21021
,N00024842,"Courtney, Joe",D,CT02,H2CT02112
,N00006267,"Crapo, Mike",R,IDS2,S8ID00027
,N00031623,"Cravaack, Chip",R,MN08,H0MN08115
,N00030770,"Crawford, Rick",R,AR01,H0AR01083
,N00012739,"Crenshaw, Ander ",R,FL04,H0FL04066
,N00032014,"Critz, Mark",D,PA12,H0PA12132
,N00001127,"Crowley, Joseph",D,NY07,H8NY07046
,N00024978,"Cuellar, Henry",D,TX28,H2TX23082
,N00009738,"Culberson, John",R,TX07,H0TX07055
,N00001971,"Cummings, Elijah E",D,MD07,H6MD07160
,N00034982,"Curson, David A",D,MI11,H2MI11190
,N00004884,"Davis, Danny K",D,IL07,H4IL07037
,N00024862,"Davis, Geoff",R,KY04,H2KY04071
,N00009604,"Davis, Susan",D,CA53,H0CA49055
,N00007781,"DeFazio, Peter",D,OR04,H6OR04047
,N00006134,"DeGette, Diana",D,CO01,H6CO01141
,N00000615,"DeLauro, Rosa L",D,CT03,H0CT03072
,N00030693,"DelBene, Suzan",D,WA01,H0WA08046
,N00002472,"DeMint, Jim",R,SCS1,S4SC00083
,N00031593,"Denham, Jeff",R,CA19,H0CA19173
,N00026171,"Dent, Charlie",R,PA15,H4PA15087
,N00030957,"Desjarlais, Scott",R,TN04,H0TN04195
,N00031317,"Deutch, Ted",D,FL19,H0FL19080
,N00025337,"Diaz-Balart, Mario",R,FL21,H2FL25018
,N00007918,"Dicks, Norm",D,WA06,H6WA06021
,N00001783,"Dingell, John D",D,MI15,H6MI16034
,N00006023,"Doggett, Lloyd",D,TX25,H4TX10028
,N00031103,"Dold, Bob",R,IL10,H0IL10302
,N00026586,"Donnelly, Joe",D,IN02,S2IN00091
,N00001373,"Doyle, Mike",D,PA14,H4PA18131
,N00006932,"Dreier, David",R,CA26,H8CA35032
,N00030967,"Duffy, Sean P",R,WI07,H0WI07051
,N00030752,"Duncan, Jeff",R,SC03,H0SC03077
,N00003209,"Duncan, John J Jr",R,TN02,H8TN02069
,N00004981,"Durbin, Dick",D,ILS1,S6IL00151
,N00028249,"Edwards, Donna",D,MD04,H6MD04183
,N00028257,"Ellison, Keith",D,MN05,H6MN05183
,N00031513,"Ellmers, Renee",R,NC02,H0NC02059
,N00005090,"Emerson, Jo Ann",R,MO08,H6MO08084
,N00001003,"Engel, Eliot",D,NY17,H8NY19058
,N00006619,"Ensign, John",R,NVS1,S8NV00073
,N00006249,"Enzi, Mike",R,WYS2,S6WY00126
,N00007335,"Eshoo, Anna",D,CA14,H8CA12098
,N00007632,"Faleomavaega, Eni F H",D,AS00,H0AS00018
,N00031672,"Farenthold, Blake",R,TX27,H0TX27061
,N00007312,"Farr, Sam",D,CA17,H4CA17021
,N00001746,"Fattah, Chaka",D,PA02,H2PA02055
,N00007364,"Feinstein, Dianne",D,CAS2,S0CA00199
,N00007033,"Filner, Bob",D,CA51,H2CA50034
,N00031141,"Fincher, Steve",R,TN08,H0TN08246
,N00027229,"Fitzpatrick, Michael G",R,PA08,H4PA08074
,N00009573,"Flake, Jeff",R,AZ06,S2AZ00141
,N00030815,"Fleischmann, Chuck",R,TN03,H0TN03254
,N00029679,"Fleming, John",R,LA04,H8LA04225
,N00031545,"Flores, Bill",R,TX17,H0TX17104
,N00013799,"Forbes, Randy",R,VA04,H2VA04052
,N00026631,"Fortenberry, Jeff",R,NE01,H4NE01064
,N00026166,"Foxx, Virginia",R,NC05,H4NC05146
,N00000275,"Frank, Barney",D,MA04,H0MA04036
,N00029016,"Franken, Al",D,MNS1,S8MN00438
,N00006423,"Franks, Trent",R,AZ02,H4AZ04024
,N00000684,"Frelinghuysen, Rodney",R,NJ11,H2NJ05014
,N00030490,"Fudge, Marcia L",D,OH11,H8OH11141
,N00007231,"Gallegly, Elton",R,CA24,H6CA21028
,N00030856,"Garamendi, John",D,CA10,H0CA10149
,N00030780,"Gardner, Cory",R,CO04,H0CO04122
,N00000743,"Garrett, Scott",R,NJ05,H8NJ05052
,N00025025,"Gerlach, Jim",R,PA06,H2PA06114
,N00031128,"Gibbs, Bob",R,OH18,H0OH18077
,N00031998,"Gibson, Chris",R,NY20,H0NY20095
,N00027829,"Giffords, Gabrielle",D,AZ08,H6AZ08038
,N00027658,"Gillibrand, Kirsten",D,NYS1,S0NY00410
,N00024760,"Gingrey, Phil",R,GA11,H2GA11149
,N00026148,"Gohmert, Louis B Jr",R,TX01,H4TX04039
,N00005960,"Gonzalez, Charlie A",D,TX20,H8TX20077
,N00009154,"Goodlatte, Bob",R,VA06,H2VA06115
,N00030771,"Gosar, Paul",R,AZ01,H0AZ01259
,N00030880,"Gowdy, Trey",R,SC04,H0SC04257
,N00009975,"Graham, Lindsey",R,SCS2,S0SC00149
,N00008799,"Granger, Kay",R,TX12,H6TX12060
,N00001758,"Grassley, Chuck",R,IAS1,S0IA00028
,N00013323,"Graves, Sam",R,MO06,H0MO06073
,N00030788,"Graves, Tom",R,GA09,H0GA09030
,N00026686,"Green, Al",D,TX09,H4TX09095
,N00005870,"Green, Gene",D,TX29,H2TX29030
,N00031297,"Griffin, Tim",R,AR02,H0AR02107
,N00032029,"Griffith, Morgan",R,VA09,H0VA09055
,N00025284,"Grijalva, Raul M",D,AZ07,H2AZ07070
,N00031401,"Grimm, Michael",R,NY13,H0NY13074
,N00030801,"Guinta, Frank",R,NH01,H0NH01217
,N00029675,"Guthrie, Brett",R,KY02,H8KY02031
,N00004874,"Gutierrez, Luis V",D,IL04,H2IL08039
,N00029617,"Hagan, Kay R",D,NCS1,S8NC00239
,N00006806,"Hahn, Janice",D,CA36,H8CA36097
,N00005645,"Hall, Ralph",R,TX04,H0TX04037
,N00025881,"Hanabusa, Colleen",D,HI01,H2HI02110
,N00030197,"Hanna, Richard",R,NY24,H8NY24066
,N00004207,"Harkin, Tom",D,IAS2,S4IA00020
,N00006750,"Harman, Jane",D,CA36,H2CA27107
,N00029632,"Harper, Gregg",R,MS03,H8MS03067
,N00029147,"Harris, Andy",R,MD01,H8MD01094
,N00031005,"Hartzler, Vicky",R,MO04,H0MO04086
,N00002884,"Hastings, Alcee L",D,FL23,H2FL23021
,N00009157,"Hastings, Doc",R,WA04,H2WA04041
,N00009869,"Hatch, Orrin G",R,UTS1,S6UT00063
,N00031124,"Hayworth, Nan",R,NY19,H0NY19139
,N00031244,"Heck, Joe",R,NV03,H0NV03058
,N00029835,"Heinrich, Martin",D,NM01,S2NM00088
,N00027522,"Heller, Dean",R,NVS1,S2NV00183
,N00024922,"Hensarling, Jeb",R,TX05,H2TX05121
,N00007584,"Herger, Wally",R,CA02,H6CA02010
,N00027060,"Higgins, Brian M",D,NY27,H4NY27076
,N00029070,"Himes, Jim",D,CT04,H8CT04172
,N00001222,"Hinchey, Maurice",D,NY22,H2NY26080
,N00006008,"Hinojosa, Ruben",D,TX15,H6TX15055
,N00028139,"Hirono, Mazie K",D,HI02,S2HI00106
,N00033055,"Hochul, Kathleen",D,NY26,H2NY00036
,N00031688,"Hoeven, John",R,NDS1,S0ND00093
,N00001469,"Holden, Tim",D,PA17,H2PA06080
,N00000860,"Holt, Rush",D,NJ12,H6NJ12144
,N00012611,"Honda, Mike",D,CA15,H0CA15148
,N00001821,"Hoyer, Steny H",D,MD05,H2MD05155
,N00027649,"Huelskamp, Tim",R,KS01,H6KS01146
,N00030673,"Huizenga, Bill",R,MI02,H0MI02094
,N00031104,"Hultgren, Randy",R,IL14,H0IL14080
,N00029258,"Hunter, Duncan D",R,CA52,H8CA52052
,N00031265,"Hurt, Robert",R,VA05,H0VA05095
,N00005675,"Hutchison, Kay Bailey",R,TXS2,S4TX00086
,N00005582,"Inhofe, James M",R,OKS2,S4OK00083
,N00001762,"Inouye, Daniel K",D,HIS1,S4HI00011
,N00001725,"Inslee, Jay",D,WA01,H2WA04090
,N00002593,"Isakson, Johnny",R,GAS2,S6GA00119
,N00013345,"Israel, Steve",D,NY02,H0NY02085
,N00007017,"Issa, Darrell",R,CA49,H0CA48024
,N00005818,"Jackson Lee, Sheila",D,TX18,H4TX18054
,N00012457,"Jackson, Jesse Jr",D,IL02,H6IL02124
,N00029077,"Jenkins, Lynn",R,KS02,H8KS02090
,N00029444,"Johanns, Mike",R,NES2,S8NE00117
,N00032088,"Johnson, Bill",R,OH06,H0OH06189
,N00008122,"Johnson, Eddie Bernice",D,TX30,H2TX00015
,N00027848,"Johnson, Hank",D,GA04,H6GA04129
,N00032546,"Johnson, Ron",R,WIS2,S0WI00197
,N00008028,"Johnson, Sam",R,TX03,H2TX03118
,N00010084,"Johnson, Tim",D,SDS2,S6SD00051
,N00012890,"Johnson, Timothy",R,IL15,H0IL15053
,N00002299,"Jones, Walter B Jr",R,NC03,H2NC01081
,N00027894,"Jordan, Jim",R,OH04,H6OH04082
,N00003522,"Kaptur, Marcy",D,OH09,H2OH09031
,N00031933,"Keating, Bill",D,MA10,H0MA10082
,N00031647,"Kelly, Mike",R,PA03,H0PA03271
,N00000245,"Kerry, John",D,MAS2,S4MA00069
,N00004070,"Kildee, Dale E",D,MI05,H6MI07108
