Building Materials,HOU,RES,URB
Building Products & Equipment,HOU,RES,URB
Business Equipment & Supplies,,,
Conglomerates,,,
Consulting Services,,,
Department Stores,APP,,
Discount Stores,APP,,
Education & Training Services,EDU,,
Electrical Equipment & Parts,,,
Electronic Components,,,
Electronic Gaming & Multimedia,ART,,
Electronics & Computer Distribution,CPI,,
Engineering & Construction,HOU,MAN,
Furnishings, Fixtures & Appliances,,,
Home Improvement Retail,,,
Household & Personal Products,,,
Industrial Distribution,,,
Infrastructure Operations,,,
Internet Retail,,,
Leisure,,,
Lodging,HOU,TOU,
Luxury Goods,APP,,
Other Industrial Metals & Mining,NAT,,
Other Precious Metals & Mining,NAT,,
Packaging & Containers,BEV,FOO,
Paper & Paper Products,,,
Personal Services,,,
Pharmaceutical Retailers,PHA,,
Pollution & Treatment Controls,WAS,,
Publishing,ART,,
Rental & Leasing Services,,,
Residential Construction,RES,URB,
Scientific & Technical Instruments,SCI,,
Security & Protection Services,,,
Semiconductor Equipment & Materials,,,
Semiconductors,,,
Shell Companies,,,
Silver,NAT,,
Specialty Industrial Machinery,MAN,,
Specialty Retail,,,
Staffing & Employment Services,LBR,,
Steel,MAN,NAT,
Thermal Coal,ENG,MAN,NAT,
Tools & Accessories,,,
