Ticker,Sector,Industry,YFQuoteType
PANW,Technology,Software - Infrastructure,EQUITY
SPG,Real Estate,REIT - Retail,EQUITY
AFRM,Technology,Software - Infrastructure,EQUITY
IBM,Technology,Information Technology Services,EQUITY
JPM,Financial Services,Banks - Diversified,EQUITY
PRNDY,Consumer Defensive,Beverages - Wineries & Distilleries,EQUITY
ALNY,Healthcare,Biotechnology,EQUITY
NGL,Energy,Oil & Gas Midstream,EQUITY
ISRG,Healthcare,Medical Instruments & Supplies,EQUITY
VIG,Not Found,Not Found,ETF
USFR,Not Found,Not Found,ETF
APH,Technology,Electronic Components,EQUITY
NOW,Technology,Software - Application,EQUITY
BRK.B,Not Found,Not Found,EQUITY
TSLA,Consumer Cyclical,Auto Manufacturers,EQUITY
AMZN,Consumer Cyclical,Internet Retail,EQUITY
AAPL,Technology,Consumer Electronics,EQUITY
GOOG,Communication Services,Internet Content & Information,EQUITY
GOOGL,Communication Services,Internet Content & Information,EQUITY
MSFT,Technology,Software - Infrastructure,EQUITY
LRCX,Technology,Semiconductor Equipment & Materials,EQUITY
ON,Technology,Semiconductors,EQUITY
AMD,Technology,Semiconductors,EQUITY
ABG,Consumer Cyclical,Auto & Truck Dealerships,EQUITY
CHRD,Energy,Oil & Gas E&P,EQUITY
TPH,Consumer Cyclical,Residential Construction,EQUITY
LAD,Consumer Cyclical,Auto & Truck Dealerships,EQUITY
MEDP,Healthcare,Diagnostics & Research,EQUITY
RPM,Basic Materials,Specialty Chemicals,EQUITY
INTC,Technology,Semiconductors,EQUITY
AGIO,Healthcare,Biotechnology,EQUITY
LOW,Consumer Cyclical,Home Improvement Retail,EQUITY
TJX,Consumer Cyclical,Apparel Retail,EQUITY
MRK,Healthcare,Drug Manufacturers - General,EQUITY
SBUX,Consumer Cyclical,Restaurants,EQUITY
WMT,Consumer Defensive,Discount Stores,EQUITY
ABT,Healthcare,Medical Devices,EQUITY
ABBV,Healthcare,Drug Manufacturers - General,EQUITY
NKE,Consumer Cyclical,Footwear & Accessories,EQUITY
PG,Consumer Defensive,Household & Personal Products,EQUITY
MSCI,Financial Services,Financial Data & Stock Exchanges,EQUITY
MDT,Healthcare,Medical Devices,EQUITY
LMT,Industrials,Aerospace & Defense,EQUITY
MU,Technology,Semiconductors,EQUITY
GIS,Consumer Defensive,Packaged Foods,EQUITY
INTU,Technology,Software - Application,EQUITY
COST,Consumer Defensive,Discount Stores,EQUITY
AMGN,Healthcare,Drug Manufacturers - General,EQUITY
JNJ,Healthcare,Drug Manufacturers - General,EQUITY
AON,Financial Services,Insurance Brokers,EQUITY
MA,Financial Services,Credit Services,EQUITY
CFG,Financial Services,Banks - Regional,EQUITY
QCOM,Technology,Semiconductors,EQUITY
V,Financial Services,Credit Services,EQUITY
CRM,Technology,Software - Application,EQUITY
ACN,Technology,Information Technology Services,EQUITY
CB,Financial Services,Insurance - Property & Casualty,EQUITY
PKG,Consumer Cyclical,Packaging & Containers,EQUITY
SYY,Consumer Defensive,Food Distribution,EQUITY
CAT,Industrials,Farm & Heavy Construction Machinery,EQUITY
CME,Financial Services,Financial Data & Stock Exchanges,EQUITY
CLF,Basic Materials,Steel,EQUITY
MMC,Financial Services,Insurance Brokers,EQUITY
SCCO,Basic Materials,Copper,EQUITY
MNST,Consumer Defensive,Beverages - Non-Alcoholic,EQUITY
IDXX,Healthcare,Diagnostics & Research,EQUITY
META,Communication Services,Internet Content & Information,EQUITY
FMAO,Financial Services,Banks - Regional,EQUITY
VUG,Not Found,Not Found,ETF
RTX,Industrials,Aerospace & Defense,EQUITY
RACE,Consumer Cyclical,Auto Manufacturers,EQUITY
SSBK,Financial Services,Banks - Regional,EQUITY
ADSK,Technology,Software - Application,EQUITY
DIS,Communication Services,Entertainment,EQUITY
AXP,Financial Services,Credit Services,EQUITY
XP,Financial Services,Capital Markets,EQUITY
ES,Utilities,Utilities - Regulated Electric,EQUITY
SPY,Not Found,Not Found,ETF
ADBE,Technology,Software - Infrastructure,EQUITY
HUMA,Healthcare,Biotechnology,EQUITY
BABA,Consumer Cyclical,Internet Retail,EQUITY
COIN,Financial Services,Financial Data & Stock Exchanges,EQUITY
BAC,Financial Services,Banks - Diversified,EQUITY
GNTX,Consumer Cyclical,Auto Parts,EQUITY
PAM,Utilities,Utilities - Independent Power Producers,EQUITY
ENB,Energy,Oil & Gas Midstream,EQUITY
AMAT,Technology,Semiconductor Equipment & Materials,EQUITY
ADI,Technology,Semiconductors,EQUITY
NVO,Healthcare,Biotechnology,EQUITY
AME,Industrials,Specialty Industrial Machinery,EQUITY
